TodaysDate,TomorrowsDate,AreaID,AreaDesc,GroupNo,GroupDesc,SiteID,SiteDesc,RefDBase,TodaysFlow,TodaysType,TomorrowsFlow,TomorrowsType,Comment,BandNo,BandDesc,TriggerLevel,TodayAlloc,TodaysType1,TomorrowAlloc,OnRestriction,SortOrder
17/05/2021 12:00:00 a.m.,18/05/2021 12:00:00 a.m.,1,1 -  From the Clarence River south & Conway River,616,616 -  Kekerengu River,423,Kekerengu River @ Downstream of Kekerengu Rd Bridge,Gauging, 0.076,Live,-,"",Last Gauged 11-May-2021 Flow  0.076m³/s,2,Band 2,0.065,42% Allocation,Live,-,1,2
17/05/2021 12:00:00 a.m.,18/05/2021 12:00:00 a.m.,1,1 -  From the Clarence River south & Conway River,616,616 -  Kekerengu River,423,Kekerengu River @ Downstream of Kekerengu Rd Bridge,Gauging, 0.076,Live, 0.076,Live,Last Gauged 11-May-2021 Flow  0.076m³/s,2,Band 2,0.065,42% Allocation,Live,42% Allocation,1,2
